,latitude,longitude,date of prediction,lead time,predicted precip,time,precip
13420,7.0,80.0,1993-05-01,4.5,4.538614,1993-09-01,170.62268
13421,7.0,80.0,1993-05-01,5.5,5.628188,1993-10-01,414.66095
13422,7.0,80.0,1993-05-01,6.5,6.615134,1993-11-01,281.48734
13423,7.0,80.0,1993-05-01,7.5,5.895628,1993-12-01,196.96489
13424,7.0,80.0,1993-05-01,8.5,2.6629212,1994-01-01,108.47522
13425,7.0,80.0,1993-05-01,9.5,2.1183465,1994-02-01,139.01837
13426,7.0,80.0,1993-05-01,10.5,3.2691262,1994-03-01,73.5771
13427,7.0,80.0,1993-05-01,11.5,5.443057,1994-04-01,123.00494
13428,7.0,80.0,1993-06-01,0.5,10.276645,1993-06-01,185.26366
13429,7.0,80.0,1993-06-01,1.5,10.69593,1993-07-01,164.74069
13430,7.0,80.0,1993-06-01,2.5,7.680819,1993-08-01,53.831776
13431,7.0,80.0,1993-06-01,3.5,5.351576,1993-09-01,170.62268
13432,7.0,80.0,1993-06-01,4.5,5.6942496,1993-10-01,414.66095
13433,7.0,80.0,1993-06-01,5.5,6.3038797,1993-11-01,281.48734
13434,7.0,80.0,1993-06-01,6.5,6.352105,1993-12-01,196.96489
13435,7.0,80.0,1993-06-01,7.5,3.548635,1994-01-01,108.47522
13436,7.0,80.0,1993-06-01,8.5,2.0127296,1994-02-01,139.01837
13437,7.0,80.0,1993-06-01,9.5,2.9036484,1994-03-01,73.5771
13438,7.0,80.0,1993-06-01,10.5,6.470229,1994-04-01,123.00494
13439,7.0,80.0,1993-06-01,11.5,9.438555,1994-05-01,111.097534
13440,7.0,80.0,1993-07-01,0.5,10.026256,1993-07-01,164.74069
13441,7.0,80.0,1993-07-01,1.5,6.7938704,1993-08-01,53.831776
13442,7.0,80.0,1993-07-01,2.5,4.926196,1993-09-01,170.62268
13443,7.0,80.0,1993-07-01,3.5,4.8462615,1993-10-01,414.66095
13444,7.0,80.0,1993-07-01,4.5,6.5910215,1993-11-01,281.48734
13445,7.0,80.0,1993-07-01,5.5,6.0043964,1993-12-01,196.96489
13446,7.0,80.0,1993-07-01,6.5,4.051551,1994-01-01,108.47522
13447,7.0,80.0,1993-07-01,7.5,2.1172419,1994-02-01,139.01837
13448,7.0,80.0,1993-07-01,8.5,2.4602883,1994-03-01,73.5771
13449,7.0,80.0,1993-07-01,9.5,6.5263543,1994-04-01,123.00494
13450,7.0,80.0,1993-07-01,10.5,7.94876,1994-05-01,111.097534
13451,7.0,80.0,1993-07-01,11.5,6.4803643,1994-06-01,71.67235
13452,7.0,80.0,1993-08-01,0.5,4.5839715,1993-08-01,53.831776
13453,7.0,80.0,1993-08-01,1.5,4.867526,1993-09-01,170.62268
13454,7.0,80.0,1993-08-01,2.5,5.284884,1993-10-01,414.66095
